Curve,FAR,TPR,Threshold,AUC
Overall,0.050625,0.41833333333333333,0.8797193191098543,0.869575
Overall,0.050625,0.42,0.8797106314320317,0.869575
Overall,0.050625,0.4216666666666667,0.8793857699320903,0.869575
Overall,0.050625,0.42333333333333334,0.879010710095116,0.869575
Overall,0.050625,0.425,0.8790020180237079,0.869575
Overall,0.05125,0.425,0.8781303868597753,0.869575
Overall,0.051875,0.425,0.8779633807694731,0.869575
Overall,0.051875,0.4266666666666667,0.87790582585269,0.869575
Overall,0.051875,0.42833333333333334,0.8776096617504404,0.869575
Overall,0.051875,0.43,0.8774046064902995,0.869575
Overall,0.051875,0.43166666666666664,0.8772971739138387,0.869575
Overall,0.051875,0.43333333333333335,0.8772032350151904,0.869575
Overall,0.0525,0.43333333333333335,0.8771442452979495,0.869575
Overall,0.0525,0.435,0.8769034570621863,0.869575
Overall,0.0525,0.43666666666666665,0.8765994812672567,0.869575
